group,name,blood,health,food,water,cut,shock
detector,Тёмный ангел,+,-,+,+,+,
detector,Золотая рыбка,-,+,-,-,,
detector,Ломоть мяса,+,+,+,+,,
detector,Компас,+,-,+,+,,
detector,Снежинка,+,+,-,-,,+
detector,Огненный шар,,,+,+,+,-
detector,Батарейка,-,-,-,-,,- 
detector,Мамины бусы,-,-,-,-,,- 
detector,Душа,-,-,-,-,,- 
detector,Глаз,-,-,-,-,,- 
detector,Грави,-,-,-,-,,- 
detector,Видоизменённый изолятор,-,+,+,,,
detector,Каменный цветок,-,+,+,,,
detector,Колобок,,+,,,,
detector,Кристалл,,+,,,,
detector,Кровь камня,-,+,,,,
detector,Пламя,-,+,,,,
detector,Пустышка,,,-,,,
detector,Пузырь,,,-,,,
detector,Видоизменённый штувал,,,-,,,
detector,Свет,,,-,,,
detector,Выверт,,,-,,,
detector,Ночная звезда,+,+,-,-,+,-
detector,Вспышка,+,+,-,-,+,-
detector,Сердце Оазиса,+,+,+,+,,
detector,Ангел,+,+,+,+,,+
detector,Батарейка II секция,-,-,-,-,,
detector,Тёмная душа,-,-,-,-,,
detector,Биофотонный цветок,+,+,+,,,
detector,Морской ёж,-,+,+,,,
detector,Сияние леса,-,+,+,,,
detector,Пружина,-,-,+,-,,
detector,Моховик,-,+,+,,,
detector,Монолит,-,+,+,,,
detector,Лунный свет,+,+,-,-,+,-
detector,Пропеллер,+,+,-,-,+,-
detector,Бенгальский огонь,-,+,+,-,+,-
detector,Светляк,+,+,+,+,,
detector,Колючка,-,+,-,-,+,-
scanner,Радиоактивный образец,-,,,,-
scanner,Микроб,,+,,,,
scanner,Демоническое сердце,,+,,,,
stag,Питательная капля,,,+,,,
stag,Аквасфера,,,,+,,
stag,Око сознания,,+,,,,
stag,Взор целителя,,+,,,,
