"Season","Subtitle","Server","Place","Name","Points","SteamId","Reward","RewardNote"
"Осень 2025","Сезон 1","Deerisle","1","EMRee","91457",,"5000 Р",
"Осень 2025","Сезон 1","Deerisle","2","TOLIK","84433",,"3000 Р",
"Осень 2025","Сезон 1","Deerisle","3","абрек","57314",,"1000 Р",
"Осень 2025","Сезон 1","Cherno","1","Activision","66069",,"5000 Р",
"Осень 2025","Сезон 1","Cherno","2","SmooKe","55370",,"3000 Р",
"Осень 2025","Сезон 1","Cherno","3","cupcake","41578",,"1000 Р",
"Осень 2025","Сезон 1","Frostline","1","TIDAL","93135",,"5000 Р",
"Осень 2025","Сезон 1","Frostline","2","Kema","56833",,"3000 Р",
"Осень 2025","Сезон 1","Frostline","3","YMHNK","40374",,"1000 Р",
"Осень 2025","Сезон 1","Summer","1","PrizrakPS","37134",,"5000 Р",
"Осень 2025","Сезон 1","Summer","2","Anne","26543",,"3000 Р",
"Осень 2025","Сезон 1","Summer","3","AXMAT","16110",,"1000 Р",
"Зима 2026","Сезон 2","Deerisle","1","абрек","158273",,"5000 Р",
"Зима 2026","Сезон 2","Deerisle","2","TOLIK","124121",,"3000 Р",
"Зима 2026","Сезон 2","Deerisle","3","DIM","108728",,"1000 Р",
"Зима 2026","Сезон 2","Cherno","1","Brodyga","90419",,"5000 Р",
"Зима 2026","Сезон 2","Cherno","2","Veliarn","71012",,"3000 Р",
"Зима 2026","Сезон 2","Cherno","3","Rinat","32204",,"1000 Р",
"Зима 2026","Сезон 2","Frostline","1","Kema","72024",,"5000 Р",
"Зима 2026","Сезон 2","Frostline","2","TIDAL","58311",,"3000 Р",
"Зима 2026","Сезон 2","Frostline","3","Emmanuelka","54941",,"1000 Р",
"Зима 2026","Сезон 2","Summer","1","AXMAT","56189",,"5000 Р",
"Зима 2026","Сезон 2","Summer","2","Angrboda","50807",,"3000 Р",
"Зима 2026","Сезон 2","Summer","3","Popper","49998",,"1000 Р",
"Весна 2026","Сезон 3","Summer","1","SpliF_47","34408",,"5000 Р",
"Весна 2026","Сезон 3","Summer","2","Snoop","33200",,"3000 Р",
"Весна 2026","Сезон 3","Summer","3","PaVuK","24004",,"1000 Р",
"Весна 2026","Сезон 3","Cherno","1","kunfy_panda_","74278",,"5000 Р",
"Весна 2026","Сезон 3","Cherno","2","Veliarn","69819",,"3000 Р",
"Весна 2026","Сезон 3","Cherno","3","Sem","33699",,"1000 Р",
"Весна 2026","Сезон 3","Deerisle","1","LB","63866",,"5000 Р",
"Весна 2026","Сезон 3","Deerisle","2","sar44","63140",,"3000 Р",
"Весна 2026","Сезон 3","Deerisle","3","Neo_simf","44137",,"1000 Р",
"Весна 2026","Сезон 3","Frostline","1","Emmanuelka","63196",,"5000 Р",
"Весна 2026","Сезон 3","Frostline","2","Cvetochek","46392",,"3000 Р",
"Весна 2026","Сезон 3","Frostline","3","Rikochet","41525",,"1000 Р",
"Июль 2026","Сезон 4 - Лето 1/3","Deerisle","1","sar44","152530","76561199837503212","50 FCoins",
"Июль 2026","Сезон 4 - Лето 1/3","Deerisle","2","DIM","141810","76561198254320679","40 FCoins",
"Июль 2026","Сезон 4 - Лето 1/3","Deerisle","3","TOLIK","110291","76561199573515857","30 FCoins",
"Июль 2026","Сезон 4 - Лето 1/3","Cherno","1","Sem","115295","76561198883677839","50 FCoins",
"Июль 2026","Сезон 4 - Лето 1/3","Cherno","2","DZAPlayer","80511","76561199594390278","40 FCoins",
"Июль 2026","Сезон 4 - Лето 1/3","Cherno","3","Wanted","80455","76561198391703574","30 FCoins",
"Июль 2026","Сезон 4 - Лето 1/3","Frostline","1","Excalibur","126149","76561198031304149","50 FCoins",
"Июль 2026","Сезон 4 - Лето 1/3","Frostline","2","Cvetochek","124952","76561198306615281","40 FCoins",
"Июль 2026","Сезон 4 - Лето 1/3","Frostline","3","Emmanuelka","118705","76561198873833718","30 FCoins",
"Август 2026","Сезон 4 - Лето 2/3","Deerisle","1","sar44","299552","76561199837503212","50 FCoins",
"Август 2026","Сезон 4 - Лето 2/3","Deerisle","2","DIM","287977","76561198254320679","40 FCoins",
"Август 2026","Сезон 4 - Лето 2/3","Deerisle","3","TOLIK","216931","76561199573515857","30 FCoins",
"Август 2026","Сезон 4 - Лето 2/3","Cherno","1","Sem","242791","76561198883677839","50 FCoins",
"Август 2026","Сезон 4 - Лето 2/3","Cherno","2","BuLka","164042","76561198135941942","40 FCoins",
"Август 2026","Сезон 4 - Лето 2/3","Cherno","3","Sachi","128852","76561199118192411","30 FCoins",
"Август 2026","Сезон 4 - Лето 2/3","Frostline","1","Excalibur+Emmanuelka","235275+230337","76561198873833718+76561198031304149","25+25 FCoins",
"Август 2026","Сезон 4 - Лето 2/3","Frostline","2","-","-","-","40 FCoins",
"Август 2026","Сезон 4 - Лето 2/3","Frostline","3","Cvetochek","215332","76561198306615281","30 FCoins",
