"ID",ItemName,ItemNameRU,DropChance
1,kolba_exosubst,Колба экзосубстанции,70
2,kolba_exosubst,Колба экзосубстанции,70
3,kolba_exosubst,Колба экзосубстанции,70

1,kk_o_kolba_genmat,Колба генетического материала,60
2,kk_o_kolba_genmat,Колба генетического материала,60
3,kk_o_kolba_genmat,Колба генетического материала,60

1,kk_o_kolba_iskferm,Колба искусственного фермента,50
2,kk_o_kolba_iskferm,Колба искусственного фермента,50
3,kk_o_kolba_iskferm,Колба искусственного фермента,50

1,kk_o_kolba_mutobr,Колба мутационного образца,40
2,kk_o_kolba_mutobr,Колба мутационного образца,40
3,kk_o_kolba_mutobr,Колба мутационного образца,40

1,kk_o_kolba_mutreag,Колба мутационного реагента,30
2,kk_o_kolba_mutreag,Колба мутационного реагента,30
3,kk_o_kolba_mutreag,Колба мутационного реагента,30

1,kk_o_kolba_neizsoed,Колба неизвестного соединения,20
2,kk_o_kolba_neizsoed,Колба неизвестного соединения,20
3,kk_o_kolba_neizsoed,Колба неизвестного соединения,20

1,kk_o_guts_biolumfrag,Биолюминесцентный фрагмент,30
2,kk_o_guts_biolumfrag,Биолюминесцентный фрагмент,30
3,kk_o_guts_biolumfrag,Биолюминесцентный фрагмент,30

1,OOTS_ART_Crustal2,Артефакт «Кристалл»,50
2,OOTS_ART_Crustal2,Артефакт «Кристалл»,50
3,OOTS_ART_Crustal2,Артефакт «Кристалл»,50

1,OOTS_ART_Mikrob,Артефакт «Микроб»,30
2,OOTS_ART_Mikrob,Артефакт «Микроб»,30
3,OOTS_ART_Mikrob,Артефакт «Микроб»,30

1,OOTS_ART_Thorn,Артефакт «Шип»,20
2,OOTS_ART_Thorn,Артефакт «Шип»,20
3,OOTS_ART_Thorn,Артефакт «Шип»,20

2,OOTS_ART_Glaz3,Артефакт «Глаз»,2
3,OOTS_ART_Glaz3,Артефакт «Глаз»,2

2,OOTS_ART_Battery3,Артефакт «Батарея»,15
3,OOTS_ART_Battery3,Артефакт «Батарея»,15

3,kk_o_guts_zaraztkan,Заражённая ткань,10
3,OOTS_ART_BloodStone_New,Артефакт «Кровавый камень»,10
3,OOTS_ART_puzir,Артефакт «Пузырь»,10
3,OOTS_ART_Braen,Артефакт «Мозг»,10
3,OOTS_ART_DevelHert,Артефакт «Сердце дьявола»,3

3,OOTS_ART_AngelFool,Артефакт «Ангел» (босс),1
3,OOTS_ART_Oasis,Артефакт «Оазис» (босс),1
