"ID",ZombieName,ZombieNameRU,LocationDeerisle,LocationCherno,LocationFrostline
1,AP_zmb_ecolog_yellow,Эколог в желтом,,Нефтевышка Blackstream,Нефтевышка Blackstream
2,AP_zmb_ecolog_yellow,Эколог в желтом,,Нефтевышка Blackstream,Нефтевышка Blackstream
3,AP_zmb_ecolog_yellow,Эколог в желтом,,Нефтевышка Blackstream,Нефтевышка Blackstream
1,FC_Zmb_Nemor_50k,Немор 50,,"Нефтевышка BlackHorizon, Данж Skalisty",Нефтевышка BlackHorizon
2,FC_Zmb_Nemor_50k,Немор 50,,"Нефтевышка BlackHorizon, Данж Skalisty",Нефтевышка BlackHorizon
3,FC_Zmb_Nemor_50k,Немор 50,,"Нефтевышка BlackHorizon, Данж Skalisty",Нефтевышка BlackHorizon
1,kk_Zmb_Данж Prison,Заключенный,Данж Prison,Данж Prison,Данж Prison
2,kk_Zmb_Данж Prison,Заключенный,Данж Prison,Данж Prison,Данж Prison
3,kk_Zmb_Данж Prison,Заключенный,Данж Prison,Данж Prison,Данж Prison
1,BRDK_MedievalMan_zmb,Средневековый скелет,Замки,Замки,-
2,BRDK_MedievalMan_zmb,Средневековый скелет,Замки,Замки,-
3,BRDK_MedievalMan_zmb,Средневековый скелет,Замки,Замки,-
1,AP_zmb_armoredz,Зомби танк,Активность Арсенал,"Активность Арсенал, Нефтевышка BlackHorizon, Данж Berezhki ","Активность Арсенал, Нефтевышка BlackHorizon, Данж Prison"
2,AP_zmb_armoredz,Зомби танк,Активность Арсенал,"Активность Арсенал, Нефтевышка BlackHorizon, Данж Berezhki ","Активность Арсенал, Нефтевышка BlackHorizon, Данж Prison "
3,AP_zmb_armoredz,Зомби танк,Активность Арсенал,"Активность Арсенал, Нефтевышка BlackHorizon, Данж Berezhki ","Активность Арсенал, Нефтевышка BlackHorizon, Данж Prison "
1,FC_Zmb_Worker_Soldier,Зомби солдат,,Данж Berezhki,-
2,FC_Zmb_Worker_Soldier,Зомби солдат,,Данж Berezhki,-
3,FC_Zmb_Worker_Soldier,Зомби солдат,,Данж Berezhki,-
1,FC_Zmb_Toxic_Yellow,Ученый в желтом,"Кратер, Нефтевышки,Локации с аномалиями, Данж KMUC",Данж Berezhki,Shantar
2,FC_Zmb_Toxic_Yellow,Ученый в желтом,"Кратер, Нефтевышки,Локации с аномалиями, Данж KMUC",Данж Berezhki,Shantar
3,FC_Zmb_Toxic_Yellow,Ученый в желтом,"Кратер, Нефтевышки,Локации с аномалиями, Данж KMUC",Данж Berezhki,Shantar
1,BRDK_BearMutant_crs,Зараженный медведь,Данж Maya,Данж Zoo,-
2,BRDK_BearMutant_crs,Зараженный медведь,Данж Maya,Данж Zoo,-
3,BRDK_BearMutant_crs,Зараженный медведь,Данж Maya,Данж Zoo,-
1,FC_Zmb_Infected_50k,Инфицированный 50,Лабиринт Арктик,Данж Skalisty,-
2,FC_Zmb_Infected_50k,Инфицированный 50,Лабиринт Арктик,Данж Skalisty,-
3,FC_Zmb_Infected_50k,Инфицированный 50,Лабиринт Арктик,Данж Skalisty,-
1,FC_Zmb_Infected,Инфицированный обычный,"Активность Лаборатория, Военки","Активность Лаборатория, Военки","Активность Лаборатория, Военки"
2,FC_Zmb_Infected,Инфицированный обычный,"Активность Лаборатория, Военки","Активность Лаборатория, Военки","Активность Лаборатория, Военки"
3,FC_Zmb_Infected,Инфицированный обычный,"Активность Лаборатория, Военки","Активность Лаборатория, Военки","Активность Лаборатория, Военки"
2,BRDK_Knight_zmb,Зомби рыцарь,Замки,Замки,-
3,BRDK_Knight_zmb,Зомби рыцарь,Замки,Замки,-
2,BRDK_PseudoDog_crs,Псевдопес,"Активность Ящик егеря, Локации с аномалиями","Активность Ящик егеря, Локации с аномалиями","Активность Ящик егеря, Данж Prison, Данж Elizarovo"
3,BRDK_PseudoDog_crs,Псевдопес,"Активность Ящик егеря, Локации с аномалиями","Активность Ящик егеря, Локации с аномалиями","Активность Ящик егеря, Данж Prison, Данж Elizarovo"
2,FC_Animal_BearАктивность Urus_M,Самка уруса,Данж Bear Mountain,Активность Urus,Данж Urup
3,BRDK_WildBoar_crs,Мутированный кабан,Локации с аномалиями,Локации с аномалиями,Данж Elizarovo
3,AP_zmb_ecolog_blue,Эколог в голубом,,"Oleg Kamikadze, Нефтевышка Blackstream",Нефтевышка Blackstream
3,FC_Animal_BearАктивность Urus_B,Босс Урус,Данж Bear Mountain,Активность Urus,Данж Urup
3,BRDK_Swamper_crs,Босс Свампер,Данж Hellscape,Данж Skalisty,"Данж Elizarovo, Нефтевышка BlackHorizon"
3,BRDK_Rhinoceros_nml,Босс Носорог,Данж Maya,Данж Zoo,-
3,BRDK_Chimp_zmb,Босс Шимпанзе,Данж Maya,Данж Zoo,-
3,AP_zmb_omon,Босс Омоновец,"Данж KMUC, Активность Бункер, Данж Prison","Активность Бункер, Нефтевышка Blackstream, Данж Berezhki","Активность Бункер, Нефтевышка Blackstream"
3,OMI_Mob1_SirenaVoices,Босс Сирена,Данж Mine,Данж Skalisty,-
3,AP_zmb_voltage_miltary,Босс Вольтаж,Данж Prison,"Данж Prison, Нефтевышка Blackwave","Данж Prison, Нефтевышка Blackwave"
3,BRDK_Recreator_zmb,Босс Рекреатор,,Нефтевышка BlackHorizon,Нефтевышка BlackHorizon
1,BRDK_Chupakabra_crs,Чупакабра,Данж Hellscape,Данж Skalisty,-
2,BRDK_Chupakabra_crs,Чупакабра,Данж Hellscape,Данж Skalisty,-
3,BRDK_Chupakabra_crs,Чупакабра,Данж Hellscape,Данж Skalisty,-
1,BRDK_HellsPorcupine_crs,Адский Дикобраз,Данж Hellscape,Данж Skalisty,-
2,BRDK_HellsPorcupine_crs,Адский Дикобраз,Данж Hellscape,Данж Skalisty,-
3,BRDK_HellsPorcupine_crs,Адский Дикобраз,Данж Hellscape,Данж Skalisty,-
1,BRDK_LizardHound_crs,Ящеричный пёс,Данж Hellscape,Данж Skalisty,-
2,BRDK_LizardHound_crs,Ящеричный пёс,Данж Hellscape,Данж Skalisty,-
3,BRDK_LizardHound_crs,Ящеричный пёс,Данж Hellscape,Данж Skalisty,-
1,BRDK_HellsPorcupine_2_crs,Адский Дикобраз 2,Данж Hellscape,Данж Skalisty,-
2,BRDK_HellsPorcupine_2_crs,Адский Дикобраз 2,Данж Hellscape,Данж Skalisty,-
3,BRDK_HellsPorcupine_2_crs,Адский Дикобраз 2,Данж Hellscape,Данж Skalisty,-
1,BRDK_Crawler_crs,Кравлер,Данж Mine,Данж Skalisty,-
2,BRDK_Crawler_crs,Кравлер,Данж Mine,Данж Skalisty,-
3,BRDK_Crawler_crs,Кравлер,Данж Mine,Данж Skalisty,-
1,BRDK_Snork,Снорк,Локации с аномалиями,Кратер,Вулкан
2,BRDK_Snork,Снорк,Локации с аномалиями,Кратер,Вулкан
3,BRDK_Snork,Снорк,Локации с аномалиями,Кратер,Вулкан
1,FC_Zmb_Worker_Builder,Зараженный строитель,"Активность Склад, Данж Mine",Активность Склад,Активность Склад
2,FC_Zmb_Worker_Builder,Зараженный строитель,"Активность Склад, Данж Mine",Активность Склад,Активность Склад
3,FC_Zmb_Worker_Builder,Зараженный строитель,"Активность Склад, Данж Mine",Активность Склад,Активность Склад
