Weapon,Plan,Drop
"Кочерга","Plan G","Cherno/Deerisle/Frostline: Квест у военных STAG"
"Duplet","Plan F","Cherno: Данж Zoo - Босс Носорог"
"Duplet","Plan F","Deerisle: Данж Maya - Босс Носорог"
"Duplet","Plan F","Frostline: Данж Tungar - Босс Альгуль"
"Duplet","Plan F","Cherno/Deerisle/Frostline: Активность Ящик егеря - Босс Медведь"
"RPK","Plan E","Cherno: Данж ZOO - Босс Шимпанзе"
"RPK","Plan E","Deerisle: Данж Maya - Босс Шимпанзе"
"RPK","Plan E","Frostline: Данж Tungar - Босс Альгуль"
"RPK","Plan E","Cherno/Deerisle/Frostline: Активность Ящик егеря - Босс Медведь"
"Shuravi","Plan D","Deerisle: Данж Mine - Босс Сирена"
"Shuravi","Plan D","Cherno: Нефтевышка BlackHorizon - Босс Рекреатор"
"Shuravi","Plan D","Frostline: Данж Castle - Босс Ведьмак"
"Shuravi","Plan D","Frostline: Активность Бункер - Босс Омоновец"
"Chester","Plan C","Deerisle: Данж Hellscape - Босс Свампер"
"Chester","Plan C","Cherno: Данж Skalisty - Босс Свампер"
"Chester","Plan C","Frostline: Данж Elizarovo - Босс Свампер"
"Chester","Plan C","Cherno/Deerisle/Frostline: Активность Ящик егеря - Босс Волк"
"TT","Plan B","Deerisle: Данж Bear Mountain - Босс Урус"
"TT","Plan B","Cherno: Данж Skalisty - Босс Sirena"
"TT","Plan B","Cherno: Активность Urus - Босс Урус"
"TT","Plan B","Frostline: Данж Urup - Босс Урус"
"AK","Plan A","Deerisle: Данж Prison - Босс Вольтаж"
"AK","Plan A","Cherno: Нефтевышка Blackwave - Босс Вольтаж"
"AK","Plan A","Frostline: Данж Prison - Босс Вольтаж"
