Weapon,Ammo,Damage,Magazine,Tier,Type
Glock17,9x19,40,30,Common,ПМ
M1928A1,45ACP,40,100,Common,ПП
SUB2000,9x19,40,30,Common,ПП
SUB2000_Suppressed,9x19,40,30,Common,ПП
MP5SD,9x19,40,30,Common,ПП
Vector,45ACP,40,30,Common,ПП
Scorpion,9x19,40,30,Common,ПП
VSK94,9x39,75,20,Common,ШВ
PPSh,762x25,80,71,Common,ПП
M249,556x45,110,200,Common,ПУЛ
SKS,762x39,110,20,Common,МВ
MBR,556x45,110,60,Common,ШВ
AKM,762x39,110,75,Common,ШВ
M16A4,556x45,110,100,Common,ШВ
FAMAS,556x45,110,100,Common,ШВ
AK15,762x39,110,75,Common,ШВ
Mk18,556x45,110,60,Common,ШВ
AKALPHA,762x39,110,75,Common,ШВ
AR15Skeleton,556x45,110,60,Common,ШВ
MCR,556x45,110,60,Common,ШВ
TAR21,556x45,110,60,Common,ШВ
RPK16,545x39,115,96,Common,ПУЛ
AK12,545x39,115,45,Common,ШВ
AEK971,545x39,115,45,Common,ШВ
CS5,308WinAP,140,10,Common,СВ
M60E3,308WinAP,140,100,Common,ПУЛ
HK21,308WinAP,140,50,Common,ШВ
M110,308WinAP,140,20,Common,МВ
HK417,308WinAP,140,20,Common,ШВ
MDR,308WinAP,140,50,Common,ШВ
R700,308WinAP,140,7,Common,СВ
SA58,308WinAP,140,50,Common,ШВ
SCARH,308WinAP,140,50,Common,ШВ
RSASS,308WinAP,140,20,Common,МВ
SVU,762x54,150,10,Common,МВ
PKM,762x54,150,150,Common,ПУЛ
PKP_Tac,762x54,150,150,Common,ПУЛ
PKP,762x54,150,200,Common,ПУЛ
SV98,762x54,150,10,Common,СВ
AK458_Plastic,458,150,20,Common,ШВ
AK47,762x54,150,20,Common,ШВ
Evolys,308Win,150,10,Common,ПУЛ
K98,792x57,150,0,Common,СВ
VR80,12gaPellets,35x8=280,30,Common,ДРБ
VSSK,127x55,800,5,Common,СВ
ASH12,127x55,800,20,Common,ШВ
Beowulf,50calBW,800,10,Common,ШВ
SRS338,338,900,8,Common,СВ
Ruger,338,900,5,Common,СВ
AWM,338,900,5,Common,СВ
DVL10,338,900,5,Common,СВ
Kivaari,338,900,10,Common,СВ
DVL10M1,40lw,1000,5,Common,СВ
M300,408,1600,7,Common,СВ
M300M,408,1600,7,Common,СВ
M200,408,1600,7,Common,СВ
SRS408,408,1600,5,Common,СВ
KS23,23x75,150x15=2250,0,Common,ДРБ
AS50,50BMG,2500,10,Common,МВ
GM6Lynx,50BMG,2500,5,Common,МВ
CSR50,50BMG,2500,0,Common,СВ
AX50,50BMG,2500,5,Common,СВ
M82A2,50BMG,2500,10,Common,МВ
Revolver50Cal,50BMG,2500,0,Common,ПМ
KSVK,127x108,3500,5,Common,МВ
Alligator,145x114,4500,5,Common,СВ
AR50A1,20mm,5500,0,Common,СВ
PKP-Vanguard,Vanguard,600,250,Uncommon,ПУЛ
PKM-Vanguard,Vanguard,570,250,Uncommon,ПУЛ
Beowulf-Vanguard,Vanguard,1100,100,Uncommon,ШВ
AS50-Vanguard,Vanguard,3000,50,Uncommon,МВ
ASH12-Vanguard,Vanguard,1100,100,Uncommon,ШВ
BARRET-Vanguard,Vanguard,2900,50,Uncommon,МВ
SCAR-H-Vanguard,Vanguard,550,150,Uncommon,ШВ
HoneyBadger-Vanguard,Vanguard,700,150,Uncommon,ШВ
PKP-Guardian,Guardian,700,250,Rare,ПУЛ
PKM-Guardian,Guardian,770,250,Rare,ПУЛ
Beowulf-Guardian,Guardian,1300,100,Rare,ШВ
AS50-Guardian,Guardian,3500,50,Rare,МВ
ASH12-Guardian,Guardian,1300,100,Rare,ШВ
BARRET-Guardian,Guardian,3400,50,Rare,МВ
SCAR-H-Guardian,Guardian,800,150,Rare,ШВ
HoneyBadger-Guardian,Guardian,900,150,Rare,ШВ
PKP-Stalwart,Stalwart,1000,250,Epic,ПУЛ
PKM-Stalwart,Stalwart,970,250,Epic,ПУЛ
Beowulf-Stalwart,Stalwart,1800,100,Epic,ШВ
AS50-Stalwart,Stalwart,4500,50,Epic,МВ
ASH12-Stalwart,Stalwart,1800,100,Epic,ШВ
BARRET-Stalwart,Stalwart,4400,50,Epic,МВ
SCAR-H-Stalwart,Stalwart,1200,150,Epic,ШВ
HoneyBadger-Stalwart,Stalwart,1500,150,Epic,ШВ
PKP-Color,Color,1500,250,Mythic,ПУЛ
PKP-Tactical-Color,Color,1500,250,Mythic,ПУЛ
VSK94-Color,Color,2300,150,Mythic,ШВ
Beowulf-Color,Color,2300,250,Mythic,ШВ
ASH12-Color,Color,2700,100,Mythic,ШВ
MDR-Color,Color,2700,200,Mythic,ШВ
AK-ALFA Color,Color,2700,200,Mythic,ШВ
MK-18-Mjolnir Color,Color,6000,50,Mythic,МВ
Barret-Color,Color,6600,50,Mythic,МВ
DMR-Color,Color,6600,50,Mythic,МВ
KRISS-Vector-Legend,Color,6600,100,Legendary,ПП
Cerber-Legend,Color,1500,1000,Legendary,ПУЛ
MegaFal,308WinAP,150,999,Exclusive,ШВ
