classname,hp
BRDK_Duck_nml,15
BRDK_hedgehog_nml,100
FC_Zmb_Toxic_Blue,100
BRDK_Am_Soldier_01_zmb,200
BRDK_FamDoctor_zmb,200
BRDK_IT_Soldier_01_zmb,200
BRDK_JetPilot_Ru,200
BRDK_JetPilot_Ch,200
BRDK_JetPilot_Us,200
FC_Zmb_Infected,1000
FC_Zmb_Jason,1000
FC_Zmb_Kikimora,1000
FC_Zmb_Nekromorf_3,1000
FC_Zmb_Nemor,1000
FC_Zmb_Toxic_Orange,1000
BRDK_Am_Soldier_02_zmb,1000
BRDK_JetPilot_Us_nm,1000
BRDK_MedievalMan2_zmb,1000
BRDK_Pilot_zmb,1000
BRDK_Bandit_zmb,1000
FC_Zmb_Worker_1,1000
FC_Zmb_Worker_1_Blood,1000
BRDK_OneHandFemale_zmb,2000
FC_Zmb_Anchut,2000
FC_Zmb_AnchutS,2000
BRDK_Ekzach_zmb,2200
BRDK_JetPilot_Ch_nm,3000
FC_Zmb_Worker_Clothes,3000
FC_Zmb_Worker_Police,3000
FC_Zmb_Worker_Soldier,3000
FC_Zmb_Worker_Builder,3000
AP_zmb_ecolog_nude,3000
AP_zmb_ecolog_wild,3000
FC_Zmb_Infected_5k,5000
FC_Zmb_Jason_5k,5000
FC_Zmb_Kikimora_5k,5000
FC_Zmb_Nekromorf_3_5k,5000
FC_Zmb_Nemor_5k,5000
FC_Zmb_Toxic_White,5000
BRDK_Am_Soldier_03_zmb,5000
BRDK_IT_Soldier_02_zmb,5000
BRDK_JetPilot_Ru_nm,5000
BRDK_MedievalMan_zmb,5000
BRDK_SevaDolg_zmb,5000
FC_Zmb_Mummy,5000
BRDK_Fox_nml,7000
FC_Zmb_Infected_10k,10000
FC_Zmb_Jason_10k,10000
FC_Zmb_Kikimora_10k,10000
FC_Zmb_Nekromorf_3_10k,10000
FC_Zmb_Nemor_10k,10000
FC_Zmb_Toxic_Yellow,10000
BRDK_Am_Soldier_04_zmb,10000
AP_zmb_ecolog_yellow,10000
BRDK_Snork,15000
BRDK_LizardHound_crs,15000
FC_Animal_BearUrus_S,15000
AP_zmb_ecolog_orange,15000
BRDK_Knight_zmb,20000
AP_zmb_kamikaze,20000
BRDK_BlindDog_WHITE_crs,20000
AP_zmb_ecolog_blue,20000
BRDK_Crawler_crs,25000
FC_Animal_BearUrus_M,25000
AP_zmb_ecolog_grey,25000
BRDK_BlindDog_BROWN_crs,27000
FC_Zmb_Infected_30k,30000
FC_Zmb_Jason_30k,30000
FC_Zmb_Kikimora_30k,30000
FC_Zmb_Nekromorf_3_30k,30000
FC_Zmb_Nemor_30k,30000
BRDK_PseudoDog_crs,30000
BRDK_WildBoar_crs,40000
BRDK_Chupakabra_crs,40000
FC_Zmb_Infected_50k,40000
BRDK_Hyena_nml,45000
BRDK_Crawler_gren_crs,45000
AP_zmb_armoredz,45000
FC_Zmb_Kikimora_50k,50000
FC_Zmb_Nekromorf_3_50k,50000
FC_Zmb_Nemor_50k,50000
BRDK_BearMutant_crs,50000
BRDK_SnowLeopard_nml,55000
BRDK_Lion_nml,55000
BRDK_HellsPorcupine_crs,60000
BRDK_Lion_M_nml,65000
AP_zmb_omon,70000
BRDK_HellsPorcupine_2_crs,70000
BRDK_Chimera_crs,80000
BRDK_Recreator_zmb,99000
BRDK_Alghoul,100000
BRDK_Chimp_zmb,100000
FC_Animal_BearUrus_B,100000
BRDK_Chimera_black_crs,110000
BRDK_Rhinoceros_nml,140000
BRDK_Swamper_crs,150000
BRDK_Alghoul_Black,150000
FC_Animal_BearCecoaliensa_B,800000
FC_Animal_BearCecoaliensa_M,150000
FC_Animal_BearCecoaliensa_S,100000
FC_Animal_WolfDamage,700000
FC_Animal_BearGrizzly_B,400000
FC_Animal_BearGrizzly_M,150000
FC_Animal_BearGrizzly_S,100000
FC_Zmb_Leshiy,500000
FC_Zmb_Wendigo,150000
AP_zmb_forester,15000
BRDK_Pooch_dog,2000
